epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4403.13,1.16406,0.63599,1.05704,0.89146,0.81688,0.88606,0.59177,1.14936,0.53017,1.05257,0.00643101,0.00643101,0.00643101
43,4505.51,1.16113,0.63307,1.05997,0.89286,0.81405,0.88572,0.59187,1.15034,0.53146,1.05189,0.00628101,0.00628101,0.00628101
44,4608.66,1.16809,0.63701,1.05968,0.89484,0.80998,0.88423,0.5919,1.14657,0.52946,1.04928,0.00612981,0.00612981,0.00612981
45,4709.86,1.15404,0.62828,1.05472,0.90133,0.80713,0.88513,0.59262,1.14715,0.52848,1.04937,0.00597754,0.00597754,0.00597754
46,4815.27,1.15964,0.63285,1.05415,0.89501,0.81283,0.88584,0.59263,1.14745,0.52603,1.04918,0.00582435,0.00582435,0.00582435
47,4917.45,1.15148,0.62246,1.05273,0.88965,0.8161,0.88653,0.59258,1.14685,0.52395,1.04832,0.0056704,0.0056704,0.0056704
48,5015.71,1.15376,0.61689,1.04989,0.89958,0.8107,0.88745,0.59393,1.14689,0.52285,1.04611,0.00551584,0.00551584,0.00551584
49,5116.33,1.14782,0.61724,1.04988,0.89912,0.81258,0.88818,0.59475,1.14434,0.52164,1.04416,0.00536081,0.00536081,0.00536081
50,5214.02,1.15156,0.61954,1.04544,0.8964,0.81406,0.88777,0.59432,1.14471,0.52153,1.0452,0.00520548,0.00520548,0.00520548
51,5316.8,1.14594,0.61085,1.05081,0.89496,0.81697,0.8894,0.59458,1.14494,0.51915,1.04512,0.00505,0.00505,0.00505
52,5418.3,1.14295,0.60659,1.04849,0.89794,0.815,0.88931,0.59526,1.14304,0.51809,1.04412,0.00489452,0.00489452,0.00489452
53,5515.62,1.14034,0.60613,1.0429,0.90352,0.81112,0.88858,0.59457,1.14272,0.51987,1.04378,0.00473919,0.00473919,0.00473919
54,5613.31,1.13766,0.60429,1.04567,0.89686,0.81756,0.89025,0.59547,1.14291,0.51884,1.04537,0.00458416,0.00458416,0.00458416
55,5713.89,1.1402,0.60721,1.04726,0.90018,0.8152,0.88924,0.59516,1.14199,0.51803,1.04367,0.0044296,0.0044296,0.0044296
56,5814.07,1.13686,0.59945,1.04053,0.90326,0.8127,0.88879,0.59483,1.14198,0.51742,1.04355,0.00427565,0.00427565,0.00427565
57,5914.42,1.13685,0.60151,1.0439,0.90126,0.81183,0.88771,0.59446,1.14228,0.51768,1.0437,0.00412246,0.00412246,0.00412246
58,6012.72,1.12957,0.59151,1.03818,0.89748,0.81455,0.88866,0.59504,1.14348,0.51688,1.04463,0.00397019,0.00397019,0.00397019
59,6112.4,1.13026,0.59172,1.04363,0.89454,0.817,0.88887,0.5951,1.14331,0.51623,1.04488,0.00381899,0.00381899,0.00381899
60,6214.94,1.12397,0.58639,1.04361,0.89993,0.81357,0.88923,0.59572,1.14164,0.5155,1.04459,0.00366899,0.00366899,0.00366899
61,6314.71,1.12557,0.5903,1.03962,0.9063,0.80726,0.88991,0.59589,1.14057,0.51406,1.04394,0.00352037,0.00352037,0.00352037
62,6414.79,1.12467,0.58207,1.03769,0.89731,0.81493,0.89017,0.59646,1.14089,0.51389,1.04378,0.00337325,0.00337325,0.00337325
63,6514.51,1.11718,0.58117,1.0346,0.90059,0.81338,0.88895,0.59634,1.14139,0.51506,1.04343,0.00322778,0.00322778,0.00322778
64,6615.57,1.12305,0.58223,1.03855,0.90826,0.80842,0.88929,0.59582,1.14052,0.5137,1.04278,0.00308412,0.00308412,0.00308412
65,6716.81,1.12051,0.57824,1.03537,0.90171,0.81387,0.88882,0.59554,1.14052,0.51458,1.04219,0.00294239,0.00294239,0.00294239
66,6817.59,1.11619,0.57387,1.03352,0.90038,0.81416,0.88853,0.59534,1.14002,0.51429,1.04135,0.00280275,0.00280275,0.00280275
67,6914.5,1.10888,0.57083,1.02675,0.89835,0.81639,0.88904,0.59603,1.13973,0.51323,1.04061,0.00266532,0.00266532,0.00266532
68,7013.68,1.11126,0.57011,1.02926,0.90354,0.81095,0.88927,0.59602,1.13957,0.51276,1.04032,0.00253024,0.00253024,0.00253024
69,7113.51,1.1113,0.56725,1.02925,0.89943,0.81396,0.88939,0.59604,1.1389,0.5119,1.03974,0.00239766,0.00239766,0.00239766
70,7220.58,1.11134,0.56598,1.03156,0.90283,0.8126,0.88981,0.59629,1.13902,0.51087,1.03966,0.00226769,0.00226769,0.00226769
71,7326.27,1.10748,0.56147,1.03276,0.9008,0.81503,0.88986,0.59633,1.13917,0.51074,1.03973,0.00214046,0.00214046,0.00214046
72,7424.92,1.09847,0.5578,1.0258,0.90035,0.81561,0.88944,0.59654,1.13928,0.5109,1.04015,0.00201611,0.00201611,0.00201611
73,7524.39,1.10747,0.56041,1.02732,0.8996,0.81668,0.88961,0.5965,1.13879,0.51066,1.03992,0.00189475,0.00189475,0.00189475
74,7622.17,1.10524,0.55591,1.02422,0.89858,0.81726,0.88979,0.59682,1.13872,0.51103,1.03989,0.00177651,0.00177651,0.00177651
75,7720.8,1.09981,0.55423,1.02303,0.8986,0.81659,0.88945,0.59682,1.13847,0.51043,1.03949,0.00166149,0.00166149,0.00166149
76,7822.81,1.09882,0.55152,1.02337,0.89778,0.81814,0.88962,0.59715,1.13863,0.50991,1.03943,0.00154982,0.00154982,0.00154982
77,7921.56,1.09835,0.55012,1.02325,0.89973,0.8161,0.88944,0.59686,1.13847,0.50951,1.03947,0.00144161,0.00144161,0.00144161
78,8021.19,1.09685,0.5498,1.02379,0.89742,0.81853,0.88968,0.59685,1.13857,0.50912,1.03931,0.00133695,0.00133695,0.00133695
79,8120.24,1.09386,0.54547,1.02308,0.898,0.8195,0.88976,0.59679,1.13877,0.50928,1.03929,0.00123596,0.00123596,0.00123596
80,8220.76,1.08867,0.54106,1.02137,0.89657,0.82008,0.88965,0.59635,1.13861,0.50932,1.03909,0.00113873,0.00113873,0.00113873
81,8320.6,1.09028,0.53639,1.02044,0.89659,0.82027,0.88945,0.59628,1.13877,0.50921,1.03896,0.00104537,0.00104537,0.00104537
82,8419.68,1.09527,0.54264,1.02164,0.89715,0.81989,0.88951,0.59611,1.13884,0.50921,1.03882,0.000955951,0.000955951,0.000955951
83,8520.33,1.08543,0.53451,1.02001,0.8978,0.81889,0.88951,0.59571,1.13893,0.50921,1.03873,0.000870577,0.000870577,0.000870577
84,8619.3,1.0894,0.53669,1.01853,0.8983,0.81819,0.88947,0.59567,1.1389,0.50938,1.03868,0.000789327,0.000789327,0.000789327
85,8719.67,1.08004,0.53631,1.0183,0.89476,0.82224,0.88946,0.59583,1.13898,0.50934,1.03864,0.000712282,0.000712282,0.000712282
86,8820.81,1.07997,0.52744,1.01651,0.89476,0.82224,0.88937,0.59604,1.13924,0.50953,1.03876,0.000639518,0.000639518,0.000639518
87,8918.74,1.08096,0.5282,1.01427,0.89462,0.8229,0.88927,0.59602,1.13928,0.50962,1.03868,0.000571106,0.000571106,0.000571106
88,9017.35,1.07902,0.52692,1.01549,0.8944,0.82323,0.8895,0.59619,1.13925,0.50964,1.03855,0.000507115,0.000507115,0.000507115
89,9119.47,1.08169,0.52717,1.01818,0.89495,0.82241,0.88931,0.59657,1.13897,0.50982,1.0384,0.000447606,0.000447606,0.000447606
90,9218.42,1.07549,0.52383,1.01357,0.8948,0.8228,0.88913,0.59633,1.13906,0.5099,1.03832,0.00039264,0.00039264,0.00039264
91,9318.44,1.06543,0.48242,1.00612,0.89443,0.82342,0.88891,0.59644,1.13908,0.51009,1.03838,0.00034227,0.00034227,0.00034227
92,9414.96,1.06322,0.47867,1.00094,0.89428,0.82294,0.88895,0.59622,1.1391,0.51003,1.03824,0.000296546,0.000296546,0.000296546
93,9515.95,1.06736,0.478,1.00675,0.89506,0.82154,0.88885,0.59626,1.13896,0.51009,1.03802,0.000255513,0.000255513,0.000255513
94,9613.53,1.05829,0.47479,1.00049,0.89628,0.82095,0.8888,0.59608,1.13904,0.51005,1.03804,0.000219212,0.000219212,0.000219212
95,9711.14,1.06126,0.47453,1.00254,0.89684,0.82076,0.8887,0.59606,1.13925,0.51043,1.03811,0.000187678,0.000187678,0.000187678
96,9810.43,1.05737,0.47234,1.00364,0.89618,0.8205,0.88827,0.59621,1.13938,0.51036,1.03807,0.000160943,0.000160943,0.000160943
97,9907.92,1.05942,0.47436,1.002,0.89624,0.82047,0.88825,0.59608,1.13942,0.51067,1.03812,0.000139032,0.000139032,0.000139032
98,10005.7,1.05622,0.47138,1.00154,0.89561,0.82086,0.88818,0.59588,1.13938,0.51071,1.03803,0.000121968,0.000121968,0.000121968
99,10101.8,1.05782,0.47253,1.00204,0.8956,0.8205,0.88801,0.59605,1.13938,0.51095,1.03808,0.000109768,0.000109768,0.000109768
100,10199.4,1.0574,0.47218,0.99945,0.89558,0.82108,0.88823,0.59599,1.13947,0.51099,1.038,0.000102443,0.000102443,0.000102443
